AREA,SITE_ID,SITE_NAME,SURVEY_ID,EVENT_DATE,EVENT_DATE_YEAR,SAMPLE_CODE,SURVEY_RANKED_NGR,SURVEY_RANKED_EASTING,SURVEY_RANKED_NORTHING,SURVEY_LENGTH,SURVEY_WIDTH,SURVEY_AREA,FISHED_WIDTH,FISHED_AREA,SURVEY_METHOD,SURVEY_STRATEGY,NO_OF_RUNS,SURVEY_SPECIES_ID,SPECIES_ID,SPECIES_NAME,LATIN_NAME,RUN1,RUN2,RUN3,RUN4,RUN5,RUN6,ALL_RUNS,SPCSNO,SPCSNO_SE,SPCSPV,SPCSPV_SE,OBSERVED_ABUNDANCE,ZERO_CATCH,SURVEY_STATUS,IS_THIRD_PARTY,IS_SPECIES_SELECTIVE,SURVEY_INSERT_DATE
Dart,9215,U/s Postbridge (Te),145829,30/07/2015,2015,,SX6462079010,264620,79010,82,5.24,429.68,5.24,429.68,DC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,631774,111,Brown / sea trout,Salmo trutta,53,,,,,,53,,,,,,No,Completed,No,No,12/08/2015
Dart,9215,U/s Postbridge (Te),145829,30/07/2015,2015,,SX6462079010,264620,79010,82,5.24,429.68,5.24,429.68,DC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,631775,118,Atlantic salmon,Salmo salar,152,,,,,,152,,,,,,No,Completed,No,No,12/08/2015
Dart,9215,U/s Postbridge (Te),145829,30/07/2015,2015,,SX6462079010,264620,79010,82,5.24,429.68,5.24,429.68,DC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,631776,241,European eel,Anguilla anguilla,3,,,,,,3,,,,,,No,Completed,No,No,12/08/2015
Dart,9215,U/s Postbridge (Te),151079,25/07/2017,2017,,SX6462079010,264620,79010,80,5.58,446.4,5.58,446.4,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,666232,242,European eels > elvers,Anguilla anguilla,2,,,,,,2,,,,,,No,Completed,No,No,31/07/2017
Dart,9215,U/s Postbridge (Te),151079,25/07/2017,2017,,SX6462079010,264620,79010,80,5.58,446.4,5.58,446.4,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,666233,118,Atlantic salmon,Salmo salar,235,,,,,,235,,,,,,No,Completed,No,No,31/07/2017
Dart,9215,U/s Postbridge (Te),151079,25/07/2017,2017,,SX6462079010,264620,79010,80,5.58,446.4,5.58,446.4,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,666234,111,Brown / sea trout,Salmo trutta,67,,,,,,67,,,,,,No,Completed,No,No,31/07/2017
Dart,9215,U/s Postbridge (Te),154934,25/07/2019,2019,,SX6462079010,264620,79010,52,5.48,284.96,5.48,284.96,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,691596,118,Atlantic salmon,Salmo salar,80,,,,,,80,,,,,,No,Completed,No,No,29/07/2019
Dart,9215,U/s Postbridge (Te),154934,25/07/2019,2019,,SX6462079010,264620,79010,52,5.48,284.96,5.48,284.96,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,691597,111,Brown / sea trout,Salmo trutta,20,,,,,,20,,,,,,No,Completed,No,No,29/07/2019
Dart,9215,U/s Postbridge (Te),154934,25/07/2019,2019,,SX6462079010,264620,79010,52,5.48,284.96,5.48,284.96,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,691598,242,European eels > elvers,Anguilla anguilla,1,,,,,,1,,,,,,No,Completed,No,No,29/07/2019
Dart,9215,U/s Postbridge (Te),160637,24/08/2021,2021,,SX6462079010,264620,79010,73,5.4,394.2,5.4,394.2,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,712992,118,Atlantic salmon,Salmo salar,144,,,,,,144,,,,,,No,Completed,No,No,18/11/2021
Dart,9215,U/s Postbridge (Te),160637,24/08/2021,2021,,SX6462079010,264620,79010,73,5.4,394.2,5.4,394.2,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,712993,111,Brown / sea trout,Salmo trutta,72,,,,,,72,,,,,,No,Completed,No,No,18/11/2021
Dart,9215,U/s Postbridge (Te),160637,24/08/2021,2021,,SX6462079010,264620,79010,73,5.4,394.2,5.4,394.2,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,712994,242,European eels > elvers,Anguilla anguilla,1,,,,,,1,,,,,,No,Completed,No,No,18/11/2021
Dart,9215,U/s Postbridge (Te),163667,07/09/2023,2023,,SX6462079010,264620,79010,49,4.9,240.1,4.9,240.1,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,732394,118,Atlantic salmon,Salmo salar,121,,,,,,121,,,,,,No,Completed,No,No,23/10/2023
Dart,9215,U/s Postbridge (Te),163667,07/09/2023,2023,,SX6462079010,264620,79010,49,4.9,240.1,4.9,240.1,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,732395,111,Brown / sea trout,Salmo trutta,37,,,,,,37,,,,,,No,Completed,No,No,23/10/2023
Dart,9215,U/s Postbridge (Te),163667,07/09/2023,2023,,SX6462079010,264620,79010,49,4.9,240.1,4.9,240.1,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,732396,242,European eels > elvers,Anguilla anguilla,2,,,,,,2,,,,,,No,Completed,No,No,23/10/2023
Dart,9215,U/s Postbridge (Te),166320,25/07/2024,2024,,SX6462079010,264620,79010,70,5.83,408.1,5.83,408.1,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,741603,111,Brown / sea trout,Salmo trutta,29,,,,,,29,,,,,,No,Completed,No,No,16/08/2024
Dart,9215,U/s Postbridge (Te),166320,25/07/2024,2024,,SX6462079010,264620,79010,70,5.83,408.1,5.83,408.1,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,741604,118,Atlantic salmon,Salmo salar,144,,,,,,144,,,,,,No,Completed,No,No,16/08/2024
Dart,9216,Postbridge (Stannon) (5 min),163668,12/09/2023,2023,,SX6482078990,264820,78990,50,2.47,123.5,2.47,123.5,ELECTRIC FISHING,CATCH PUE/T SAMPLE,1,732434,118,Atlantic salmon,Salmo salar,10,,,,,,10,,,,,,No,Completed,No,No,24/10/2023
Dart,9216,Postbridge (Stannon) (5 min),163668,12/09/2023,2023,,SX6482078990,264820,78990,50,2.47,123.5,2.47,123.5,ELECTRIC FISHING,CATCH PUE/T SAMPLE,1,732435,111,Brown / sea trout,Salmo trutta,92,,,,,,92,,,,,,No,Completed,No,No,24/10/2023
Dart,9216,Postbridge (Stannon) (5 min),163668,12/09/2023,2023,,SX6482078990,264820,78990,50,2.47,123.5,2.47,123.5,ELECTRIC FISHING,CATCH PUE/T SAMPLE,1,732436,283,Bullhead,Cottus gobio,2,,,,,,2,,,,,,No,Completed,No,No,24/10/2023
Dart,9217,Runnage (Te),148703,25/07/2016,2016,,SX6687178796,266871,78796,57,3.24,184.68,3.24,184.68,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,650074,111,Brown / sea trout,Salmo trutta,107,,,,,,107,,,,,,No,Completed,No,No,29/07/2016
Dart,9217,Runnage (Te),148703,25/07/2016,2016,,SX6687178796,266871,78796,57,3.24,184.68,3.24,184.68,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,650075,242,European eels > elvers,Anguilla anguilla,2,,,,,,2,,,,,,No,Completed,No,No,29/07/2016
