AREA,SITE_ID,SITE_NAME,SURVEY_ID,EVENT_DATE,EVENT_DATE_YEAR,SAMPLE_CODE,SURVEY_RANKED_NGR,SURVEY_RANKED_EASTING,SURVEY_RANKED_NORTHING,SURVEY_LENGTH,SURVEY_WIDTH,SURVEY_AREA,FISHED_WIDTH,FISHED_AREA,SURVEY_METHOD,SURVEY_STRATEGY,NO_OF_RUNS,SURVEY_SPECIES_ID,SPECIES_ID,SPECIES_NAME,LATIN_NAME,RUN1,RUN2,RUN3,RUN4,RUN5,RUN6,ALL_RUNS,SPCSNO,SPCSNO_SE,SPCSPV,SPCSPV_SE,OBSERVED_ABUNDANCE,ZERO_CATCH,SURVEY_STATUS,IS_THIRD_PARTY,IS_SPECIES_SELECTIVE,SURVEY_INSERT_DATE
Exe,8610,U/S Witheridge Ford (Te),146073,25/08/2015,2015,,SS9201035030,292010,135030,50,6.2,310,6.2,310,DC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,632746,283,Bullhead,Cottus gobio,56,,,,,,56,,,,,,No,Completed,No,No,25/08/2015
Exe,8610,U/S Witheridge Ford (Te),146073,25/08/2015,2015,,SS9201035030,292010,135030,50,6.2,310,6.2,310,DC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,632747,111,Brown / sea trout,Salmo trutta,18,,,,,,18,,,,,,No,Completed,No,No,25/08/2015
Exe,8610,U/S Witheridge Ford (Te),146073,25/08/2015,2015,,SS9201035030,292010,135030,50,6.2,310,6.2,310,DC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,632748,118,Atlantic salmon,Salmo salar,23,,,,,,23,,,,,,No,Completed,No,No,25/08/2015
Exe,8610,U/S Witheridge Ford (Te),146073,25/08/2015,2015,,SS9201035030,292010,135030,50,6.2,310,6.2,310,DC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,632749,320,Lamprey sp.,Petromyzontidae,5,,,,,,5,,,,,,No,Completed,No,No,25/08/2015
Exe,8610,U/S Witheridge Ford (Te),151406,15/08/2017,2017,,SS9201035030,292010,135030,55,5.75,316.25,5.75,316.25,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,668053,283,Bullhead,Cottus gobio,73,,,,,,73,,,,,,No,Completed,No,No,04/09/2017
Exe,8610,U/S Witheridge Ford (Te),151406,15/08/2017,2017,,SS9201035030,292010,135030,55,5.75,316.25,5.75,316.25,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,668054,118,Atlantic salmon,Salmo salar,9,,,,,,9,,,,,,No,Completed,No,No,04/09/2017
Exe,8610,U/S Witheridge Ford (Te),151406,15/08/2017,2017,,SS9201035030,292010,135030,55,5.75,316.25,5.75,316.25,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,668055,111,Brown / sea trout,Salmo trutta,38,,,,,,38,,,,,,No,Completed,No,No,04/09/2017
Exe,8610,U/S Witheridge Ford (Te),155036,06/08/2019,2019,,SS9201035030,292010,135030,52,5.85,304.2,5.85,304.2,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,692403,118,Atlantic salmon,Salmo salar,1,,,,,,1,,,,,,No,Completed,No,No,09/08/2019
Exe,8610,U/S Witheridge Ford (Te),155036,06/08/2019,2019,,SS9201035030,292010,135030,52,5.85,304.2,5.85,304.2,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,692404,111,Brown / sea trout,Salmo trutta,35,,,,,,35,,,,,,No,Completed,No,No,09/08/2019
Exe,8610,U/S Witheridge Ford (Te),155036,06/08/2019,2019,,SS9201035030,292010,135030,52,5.85,304.2,5.85,304.2,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,692405,283,Bullhead,Cottus gobio,52,,,,,,52,,,,,,No,Completed,No,No,09/08/2019
