AREA,SITE_ID,SITE_NAME,SURVEY_ID,EVENT_DATE,EVENT_DATE_YEAR,SAMPLE_CODE,SURVEY_RANKED_NGR,SURVEY_RANKED_EASTING,SURVEY_RANKED_NORTHING,SURVEY_LENGTH,SURVEY_WIDTH,SURVEY_AREA,FISHED_WIDTH,FISHED_AREA,SURVEY_METHOD,SURVEY_STRATEGY,NO_OF_RUNS,SURVEY_SPECIES_ID,SPECIES_ID,SPECIES_NAME,LATIN_NAME,RUN1,RUN2,RUN3,RUN4,RUN5,RUN6,ALL_RUNS,SPCSNO,SPCSNO_SE,SPCSPV,SPCSPV_SE,OBSERVED_ABUNDANCE,ZERO_CATCH,SURVEY_STATUS,IS_THIRD_PARTY,IS_SPECIES_SELECTIVE,SURVEY_INSERT_DATE
Plym,7173,Plym Bridge,155123,28/06/2019,2019,,SX5231058660,252310,58660,56.1,13.49,756.789,13.49,756.789,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,693039,118,Atlantic salmon,Salmo salar,51,,,,,,51,,,,,,No,Completed,No,No,15/08/2019
Plym,7173,Plym Bridge,155123,28/06/2019,2019,,SX5231058660,252310,58660,56.1,13.49,756.789,13.49,756.789,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,693040,111,Brown / sea trout,Salmo trutta,10,,,,,,10,,,,,,No,Completed,No,No,15/08/2019
Plym,7173,Plym Bridge,155123,28/06/2019,2019,,SX5231058660,252310,58660,56.1,13.49,756.789,13.49,756.789,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,693041,284,Minnow,Phoxinus phoxinus,13,,,,,,13,,,,,,No,Completed,No,No,15/08/2019
Plym,7173,Plym Bridge,155123,28/06/2019,2019,,SX5231058660,252310,58660,56.1,13.49,756.789,13.49,756.789,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,693042,283,Bullhead,Cottus gobio,154,,,,,,154,,,,,,No,Completed,No,No,15/08/2019
Plym,7173,Plym Bridge,155123,28/06/2019,2019,,SX5231058660,252310,58660,56.1,13.49,756.789,13.49,756.789,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,693043,242,European eels > elvers,Anguilla anguilla,11,,,,,,11,,,,,,No,Completed,No,No,15/08/2019
Plym,7173,Plym Bridge,155123,28/06/2019,2019,,SX5231058660,252310,58660,56.1,13.49,756.789,13.49,756.789,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,693044,243,European elvers,Anguilla anguilla,4,,,,,,4,,,,,,No,Completed,No,No,15/08/2019
Plym,7173,Plym Bridge,164449,28/06/2023,2023,,SX5234458687,252344,58687,15.6,12.2,190.32,12.2,190.32,PDC ELECTRIC FISHING,CATCH PUE/T SAMPLE,1,736764,118,Atlantic salmon,Salmo salar,17,,,,,,17,,,,,,No,Completed,No,No,13/12/2023
Plym,7173,Plym Bridge,164449,28/06/2023,2023,,SX5234458687,252344,58687,15.6,12.2,190.32,12.2,190.32,PDC ELECTRIC FISHING,CATCH PUE/T SAMPLE,1,736765,283,Bullhead,Cottus gobio,2,,,,,,2,,,,,,No,Completed,No,No,13/12/2023
Plym,7173,Plym Bridge,164449,28/06/2023,2023,,SX5234458687,252344,58687,15.6,12.2,190.32,12.2,190.32,PDC ELECTRIC FISHING,CATCH PUE/T SAMPLE,1,736766,284,Minnow,Phoxinus phoxinus,15,,,,,,15,,,,,,No,Completed,No,No,13/12/2023
Plym,7173,Plym Bridge,164449,28/06/2023,2023,,SX5234458687,252344,58687,15.6,12.2,190.32,12.2,190.32,PDC ELECTRIC FISHING,CATCH PUE/T SAMPLE,1,736767,242,European eels > elvers,Anguilla anguilla,3,,,,,,3,,,,,,No,Completed,No,No,13/12/2023
