AREA,SITE_ID,SITE_NAME,SURVEY_ID,EVENT_DATE,EVENT_DATE_YEAR,SAMPLE_CODE,SURVEY_RANKED_NGR,SURVEY_RANKED_EASTING,SURVEY_RANKED_NORTHING,SURVEY_LENGTH,SURVEY_WIDTH,SURVEY_AREA,FISHED_WIDTH,FISHED_AREA,SURVEY_METHOD,SURVEY_STRATEGY,NO_OF_RUNS,SURVEY_SPECIES_ID,SPECIES_ID,SPECIES_NAME,LATIN_NAME,RUN1,RUN2,RUN3,RUN4,RUN5,RUN6,ALL_RUNS,SPCSNO,SPCSNO_SE,SPCSPV,SPCSPV_SE,OBSERVED_ABUNDANCE,ZERO_CATCH,SURVEY_STATUS,IS_THIRD_PARTY,IS_SPECIES_SELECTIVE,SURVEY_INSERT_DATE
Teign,9242,Leigh House (Te),148895,10/08/2016,2016,,SX6827087990,268270,87990,56,9.25,518,9.25,518,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,650986,118,Atlantic salmon,Salmo salar,60,,,,,,60,,,,,,No,Completed,No,No,11/08/2016
Teign,9242,Leigh House (Te),148895,10/08/2016,2016,,SX6827087990,268270,87990,56,9.25,518,9.25,518,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,650987,111,Brown / sea trout,Salmo trutta,85,,,,,,85,,,,,,No,Completed,No,No,11/08/2016
Teign,9242,Leigh House (Te),153015,02/08/2018,2018,,SX6827087990,268270,87990,70,7.47,522.9,7.47,522.9,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,678466,242,European eels > elvers,Anguilla anguilla,2,,,,,,2,,,,,,No,Completed,No,No,10/08/2018
Teign,9242,Leigh House (Te),153015,02/08/2018,2018,,SX6827087990,268270,87990,70,7.47,522.9,7.47,522.9,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,678467,118,Atlantic salmon,Salmo salar,154,,,,,,154,,,,,,No,Completed,No,No,10/08/2018
Teign,9242,Leigh House (Te),153015,02/08/2018,2018,,SX6827087990,268270,87990,70,7.47,522.9,7.47,522.9,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,678468,111,Brown / sea trout,Salmo trutta,113,,,,,,113,,,,,,No,Completed,No,No,10/08/2018
Teign,9242,Leigh House (Te),155127,07/08/2019,2019,,SX6827087990,268270,87990,45,10,450,10,450,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,693059,118,Atlantic salmon,Salmo salar,132,,,,,,132,,,,,,No,Completed,No,No,16/08/2019
Teign,9242,Leigh House (Te),155127,07/08/2019,2019,,SX6827087990,268270,87990,45,10,450,10,450,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,693060,111,Brown / sea trout,Salmo trutta,64,,,,,,64,,,,,,No,Completed,No,No,16/08/2019
Teign,9242,Leigh House (Te),161614,02/09/2022,2022,,SX6827087990,268270,87990,56,8.23,460.88,8.23,460.88,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,720404,118,Atlantic salmon,Salmo salar,120,,,,,,120,,,,,,No,Completed,No,No,13/10/2022
Teign,9242,Leigh House (Te),161614,02/09/2022,2022,,SX6827087990,268270,87990,56,8.23,460.88,8.23,460.88,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,720405,111,Brown / sea trout,Salmo trutta,110,,,,,,110,,,,,,No,Completed,No,No,13/10/2022
Teign,9242,Leigh House (Te),161614,02/09/2022,2022,,SX6827087990,268270,87990,56,8.23,460.88,8.23,460.88,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,720406,286,Stone loach,Barbatula barbatula,1,,,,,,1,,,,,,No,Completed,No,No,13/10/2022
